sample_id,fold,target,mahalanobis_distance,cosine_knn_distance
no_0bc12dee429a9969,4,0,2.5124481654866915,0.44177338003787914
no_16d05c87bffe4fdd,4,0,2.9836796003860053,0.4419530444238855
no_2d304e407ec526c9,4,0,2.534866693008816,0.3942178573990123
no_2db2426323e2d116,4,0,4.238181427883297,0.5334222997141767
no_3ceab6190d93957c,4,0,3.6317041335994156,0.39060558149036306
no_6a028c0cf05b9ab4,4,0,2.9626920817568263,0.5160450089931983
no_912cec46265a5793,4,0,3.495533400782352,0.6395202573462139
no_96eb6967090f99bc,4,0,2.3588368755053772,0.34559487557734025
no_ab2d50ea056994dd,4,0,4.31996436229936,0.5867704672496069
no_c3da82d44359f4a1,4,0,3.7179488300425523,0.5783143002768574
no_c9d574a467241cb3,4,0,3.4021890101872283,0.6302022389110373
no_cc897565e991fd55,4,0,3.382169030864734,0.5806298659413482
no_e89b26e1115b4818,4,0,4.050612730605318,0.46753488735835846
no_f305c895d86e72b7,4,0,3.2281716398869484,0.361811850455968
no_f6b9367846473d64,4,0,3.2117431889990686,0.5012417464917267
yes_00aa87e56bf59778,4,1,5.301876886252216,0.6913953723213064
yes_10e6d731d447b374,4,1,3.1941398504338987,0.5999873734906783
yes_1a8bfe88bf24a2f6,4,1,4.197978581398149,0.6074981552821498
yes_1b188f3b3268a61f,4,1,5.460043256540395,0.5340705119737026
yes_27a43972bf6b6bb0,4,1,4.190166006680708,0.6202335387859048
yes_2e56cee08cdc90d9,4,1,3.645230867350281,0.547879715432155
yes_2ecddc01c12b1157,4,1,3.418226064554845,0.5944019814074021
yes_3ea514113ad745b5,4,1,2.895032777386374,0.6724326756583054
yes_4b4dac686a5833b9,4,1,4.391803108561187,0.5244275655562166
yes_6d6496cd067b1f66,4,1,3.5408090740865132,0.5250603912966605
yes_728b7c8bdd193b36,4,1,3.8538796722993127,0.7649803783137905
yes_72fca1cc64c1d654,4,1,4.0875064100706835,0.7182736682009411
yes_7d3a903c571970fb,4,1,5.032288976662553,0.6356661972661448
yes_8401fd725d100f99,4,1,3.5203538671083394,0.852299105879133
yes_a66911b8e185964e,4,1,3.560435426365579,0.6842693671152013
yes_b3c83703ca0184fa,4,1,3.7547890408740465,0.7659758949317732
yes_b8a8b00299f2da21,4,1,4.6782231111034855,0.5974933176971597
yes_c18a91d081701485,4,1,2.9897589762819745,0.6406647047524647
yes_c462139e87fd54e1,4,1,5.1182396953679525,0.5319995736994357
yes_c54a901936d151f7,4,1,4.322714754171636,0.5254146670841024
yes_cab80a0ea5bbda93,4,1,3.4964473459289604,0.7190279285312251
yes_d192bd91e088d489,4,1,3.824765023144451,0.7158612871927872
yes_e85cd56865119207,4,1,4.434504174055625,0.5164845256135119
yes_f4a7b91418b53b36,4,1,5.795232362404658,0.6240698748165844
