sample_id,fold,target,mahalanobis_distance,cosine_knn_distance
no_0223943a2b28b7ae,2,0,3.129817896252369,0.5836635047604037
no_173a41b949f0af0e,2,0,3.2896957713141637,0.34851774120797896
no_1db0e714ae03db2f,2,0,2.7688447818925894,0.5783359709203095
no_3c3bdbcf86cd640b,2,0,2.8645432460843216,0.5877745407343673
no_5e984e1fb53f9917,2,0,4.3371458520963975,0.5420222587180359
no_7bd4d5d58606af2e,2,0,3.4727395917062718,0.5484902620322177
no_7f77955933dac2ac,2,0,3.9766162111047083,0.5600501251481889
no_91eb18f61d813028,2,0,3.1037894289525383,0.4827279615992871
no_971b1ba3120ce311,2,0,2.735212361889891,0.5699030717913072
no_9c54a8ba366d8a98,2,0,4.467465643509438,0.6113795250165691
no_b85ca032439975a9,2,0,4.587483454132484,0.6740206053154238
no_bbff47f934ea4633,2,0,4.958561510409642,0.6001880486421173
no_cca6c02571d544a6,2,0,2.9170539669551148,0.5534538094946396
no_e615defa5c0de164,2,0,3.292323673510057,0.6859427442052576
no_f1db26614acae672,2,0,4.628925550765439,0.5616505887670968
yes_22acd08bd4f3ff6d,2,1,4.4368181692568545,0.46882572863407135
yes_279ccefd120d2f24,2,1,4.658565004902301,0.5366819986844904
yes_2b8f8b25dbe4563c,2,1,4.471585550259892,0.5693974459539014
yes_2e8e5db146be404d,2,1,4.490259642467862,0.6343486830354442
yes_2fcfad6defbc064b,2,1,4.236581508869546,0.5898457778042363
yes_370b20ef332e8a98,2,1,3.71055517807481,0.5937109390393482
yes_3823fa4265917a74,2,1,3.440482632227535,0.6717856748702354
yes_3aca2acadb402b7f,2,1,3.933503918252264,0.6298520027871163
yes_40acbff027d24bd1,2,1,3.340612169417778,0.5763984496604769
yes_73c350c62520a00c,2,1,3.88441640834616,0.574135048096776
yes_7567ef69a11ba556,2,1,3.5387114127419306,0.6278881235566413
yes_8982ebda6db4292b,2,1,2.931980182203298,0.6392605587745535
yes_89f6df9589f65709,2,1,3.2678126923440054,0.6916830173832726
yes_8d6c1b4cd984419b,2,1,3.484473309644397,0.6919402053443593
yes_8e50086f244936da,2,1,3.7192155936166347,0.7509656927101811
yes_a2001b87954a57a1,2,1,3.341236768318623,0.6361302486529091
yes_ae6296325b0ca772,2,1,4.66525350637556,0.6331534090866854
yes_ae84bfb73e4381d4,2,1,5.445300253637107,0.5434217337788114
yes_bab9f575d0033ff2,2,1,2.8381143537013918,0.6982659036575284
yes_d6321c1d40a6e6c1,2,1,5.717119948479015,0.6059936662455983
yes_e3cf525b6b42cbe3,2,1,3.157133638605868,0.6551121631891181
yes_f9588890598676c0,2,1,3.954940971824765,0.5565564846512396
yes_fa097654f17421e0,2,1,3.5754267404239397,0.724307850703784
yes_fbaf145857c5f1ba,2,1,4.186426515581391,0.6082582195615536
