sample_id,fold,target,mahalanobis_distance,cosine_knn_distance
no_0e2f7a4ea3e0124e,0,0,3.254943586232244,0.6716428524179276
no_219987922e3461ef,0,0,2.9817838884212087,0.6333972252612988
no_220e62fca790bcec,0,0,4.117245755945499,0.6021449508140411
no_29504dbbe42208cd,0,0,2.6385334691769255,0.5738571877927303
no_2d07d5dc31a6f83f,0,0,3.1020547882126963,0.4895474100950923
no_42c0923d95ea398b,0,0,3.472174686061284,0.7145075946946251
no_744e69af8593f89a,0,0,3.452179001722371,0.5184603841396335
no_760138854027be6d,0,0,3.345146564218774,0.5266406761660386
no_7e606d5851ec154e,0,0,4.143256619992717,0.6297754702715954
no_81f4b76bdbd241ba,0,0,3.088165085050609,0.6458068441836444
no_9b1014fc56b1e254,0,0,2.6164104773001013,0.5854211657508819
no_ab01efa9ce7ad51d,0,0,3.5949338166818183,0.525914585004598
no_bec663631a5dca91,0,0,4.022837357851497,0.6005027909376903
no_c8280173142dbe05,0,0,3.807806679205012,0.5772682414939645
no_e34b6fd8d386909b,0,0,2.986765112078756,0.6010501217140383
yes_0f86705620b9fafe,0,1,3.7932431552728354,0.6147980626536341
yes_13622753872a9c37,0,1,5.630160222219699,0.5299913945842241
yes_423367d590285175,0,1,3.723633005183701,0.5338832748073121
yes_43d5e0b3752c017e,0,1,4.013483790283239,0.6017003495392209
yes_46d0b280b7be26b5,0,1,4.171903581942029,0.6757126894665504
yes_5249365945e24fa9,0,1,3.8807581976859042,0.7227986942390816
yes_6a069b3d733eb11d,0,1,3.4122975672746043,0.7380873501347807
yes_6c8b6e065bd3146d,0,1,3.0156642241767293,0.631776258048671
yes_76a496712d6d1d89,0,1,4.716537102262106,0.5875277348568883
yes_79af84b55617f832,0,1,3.7178180423086022,0.548530311208151
yes_7e05b989db144b6a,0,1,4.11465965121052,0.5979423662592791
yes_9d1b78b86d583a50,0,1,3.2203377245800824,0.6440977108467842
yes_9eab71b093450cfb,0,1,2.913782262305886,0.6725568027278087
yes_adfe80b2b531e8b1,0,1,3.3824731530570213,0.7296987489749176
yes_be61ffcce791d840,0,1,2.829655802231763,0.7226971950251118
yes_becc758666799e37,0,1,3.3945684494252553,0.6703667578469219
yes_c367ea4f16ac06d6,0,1,3.483781394896774,0.7104110293722969
yes_cc6d23e897ded38e,0,1,3.8390931525644723,0.6118499542831165
yes_d977825f239ece41,0,1,3.7046200407732623,0.761187021288135
yes_e5fde4fbf9480d56,0,1,3.824496784545401,0.7172820253941011
yes_ec5edf557c5a16b1,0,1,3.210958508483,0.6704665847688371
yes_f0a9643903d4281c,0,1,2.5775613095679177,0.4250426635792458
yes_f7a12e5d06d49c86,0,1,2.807426870316804,0.5753765126289292
yes_fca2facace9e457a,0,1,4.144600239740141,0.6558193064595639
