global_epoch,stage,train_loss,val_loss,train_roc_auc,val_roc_auc,val_sensitivity_at_0_5,val_specificity_at_0_5,val_f1_at_0_5
1,warmup,0.4983193791365322,0.40247884802520273,0.6403780068728523,0.8972222222222221,0.9166666666666666,0.5333333333333333,0.8301886792452831
2,warmup,0.3846785421424274,0.32240249440073965,0.8793814432989691,0.9055555555555556,0.9166666666666666,0.8,0.8979591836734694
3,warmup,0.3279215218617192,0.28809690438210966,0.9207903780068729,0.9166666666666667,0.9166666666666666,0.8666666666666667,0.9166666666666666
4,warmup,0.3219663271138185,0.27701922953128816,0.9261168384879724,0.9277777777777777,0.9166666666666666,0.8666666666666667,0.9166666666666666
5,warmup,0.29493510393025,0.27509682439267635,0.9403780068728523,0.9305555555555556,0.9166666666666666,0.8666666666666667,0.9166666666666666
6,finetune,0.3136087950625563,0.23374480213969945,0.9142611683848797,0.9361111111111111,0.9166666666666666,0.8666666666666667,0.9166666666666666
7,finetune,0.20654666572337663,0.22760215851012616,0.9567010309278351,0.9472222222222222,0.9166666666666666,0.9333333333333333,0.9361702127659575
8,finetune,0.14931485312696122,0.2910364643437788,0.9859106529209622,0.9472222222222222,0.75,0.9333333333333333,0.8372093023255814
9,finetune,0.12208340384244412,0.24848840654885862,0.9845360824742269,0.9527777777777777,0.9166666666666666,0.9333333333333333,0.9361702127659575
10,finetune,0.07928009282707685,0.33470603480818684,0.99553264604811,0.9444444444444444,0.7916666666666666,0.9333333333333333,0.8636363636363636
11,finetune,0.04018524709193381,0.29146154385307455,0.9993127147766323,0.9472222222222222,0.8333333333333334,0.9333333333333333,0.8888888888888888
12,finetune,0.055658357869612665,0.354543458824628,0.997766323024055,0.9444444444444444,0.7916666666666666,0.9333333333333333,0.8636363636363636
13,finetune,0.02653099397240469,0.29462920896639844,0.9994845360824742,0.95,0.9583333333333334,0.9333333333333333,0.9583333333333334
14,finetune,0.034709811302548854,0.2975375976617215,0.9998281786941581,0.9472222222222222,0.8333333333333334,0.9333333333333333,0.8888888888888888
