sample_id,class_name,target,fold,temperature,T_low,T_high,tta_count,probability_mean,probability_std,probability_min,probability_max,probability_range,predictive_entropy_mean_probability,mean_three_band_state,tta_unique_state_count,tta_states_seen,band_instability,crosses_T_low,crosses_T_high,raw_identity,calibrated_identity,raw_rotate_minus_3,calibrated_rotate_minus_3,raw_rotate_plus_3,calibrated_rotate_plus_3,raw_translate_left_2pct,calibrated_translate_left_2pct,raw_translate_right_2pct,calibrated_translate_right_2pct,raw_translate_up_2pct,calibrated_translate_up_2pct,raw_translate_down_2pct,calibrated_translate_down_2pct,above_std_q95,above_range_q95,above_entropy_q95,engineering_uncertainty_candidate
no_0e2f7a4ea3e0124e,no,0,0,0.6907094023322218,0.13,0.57,7,0.3148727130681416,0.05367874599256174,0.22825598406271433,0.3967019852550865,0.16844600119237216,0.6229440736268019,INDETERMINATE,1,INDETERMINATE,False,False,False,0.3412838876247406,0.2784761921348701,0.3012374937534332,0.22825598406271433,0.4281107783317566,0.3967019852550865,0.41331222653388977,0.37586316028391487,0.37969687581062317,0.32946086138106995,0.36187559366226196,0.30550217056993834,0.3500184714794159,0.2898486377893969,False,False,False,False
no_219987922e3461ef,no,0,0,0.6907094023322218,0.13,0.57,7,0.2339001600614461,0.026518878263654257,0.2026330967993782,0.29059782830398434,0.08796473150460615,0.5439461718638818,INDETERMINATE,1,INDETERMINATE,False,False,False,0.31450411677360535,0.24452366373276166,0.30310747027397156,0.23052556763629634,0.35059019923210144,0.29059782830398434,0.29457995295524597,0.22023975924724362,0.3070347011089325,0.23531728691944603,0.2796466052532196,0.2026330967993782,0.2888855040073395,0.21346391779101265,False,False,False,False
no_220e62fca790bcec,no,0,0,0.6907094023322218,0.13,0.57,7,0.09859108781730481,0.015594538689481827,0.0794969481139939,0.1298192421067165,0.0503222939927226,0.3219762025837652,GBM_NOT_SUSPECTED,1,GBM_NOT_SUSPECTED,False,False,False,0.17098116874694824,0.092322115887768,0.1667880415916443,0.08876097009356092,0.21179912984371185,0.1298192421067165,0.16977182030677795,0.09128932778364861,0.1926884949207306,0.11163483456188028,0.17617979645729065,0.09681417617356546,0.1555541604757309,0.0794969481139939,False,False,False,False
no_29504dbbe42208cd,no,0,0,0.6907094023322218,0.13,0.57,7,0.16955950286745974,0.011731397543902513,0.1528165528667189,0.19015603020059801,0.0373394773338791,0.4551870607021297,INDETERMINATE,1,INDETERMINATE,False,False,False,0.24180516600608826,0.16049595744930747,0.260851114988327,0.18124402171937068,0.26877716183662415,0.19015603020059801,0.23451976478099823,0.1528165528667189,0.2520822286605835,0.1715725863898197,0.24650432169437408,0.16552568083765543,0.24611404538154602,0.16510569060874797,False,False,False,False
no_2d07d5dc31a6f83f,no,0,0,0.6907094023322218,0.13,0.57,7,0.19380564169633369,0.02191025803582797,0.1572738866494694,0.22272343000684197,0.06544954335737257,0.4916943687720764,INDETERMINATE,1,INDETERMINATE,False,False,False,0.2889404296875,0.21352891303444024,0.27447310090065,0.19665808373348778,0.2566151022911072,0.1765470281021231,0.2590761184692383,0.1792702165472149,0.23876513540744781,0.1572738866494694,0.2966516315937042,0.22272343000684197,0.2864915132522583,0.21063793380075846,False,False,False,False
no_42c0923d95ea398b,no,0,0,0.6907094023322218,0.13,0.57,7,0.47796453674306766,0.07269411137784287,0.3647985799460725,0.5716443368006774,0.20684575685460488,0.6921757426734267,INDETERMINATE,2,GBM_SUSPECTED|INDETERMINATE,True,False,True,0.5331613421440125,0.5479334777235318,0.48377710580825806,0.4765217384749036,0.5211786031723022,0.5306420128089799,0.4743513762950897,0.46290193813507097,0.5496640205383301,0.5716443368006774,0.42429593205451965,0.39130967331223776,0.405387818813324,0.3647985799460725,False,False,True,True
no_744e69af8593f89a,no,0,0,0.6907094023322218,0.13,0.57,7,0.12355027398562156,0.013655335486956289,0.09731246729851029,0.13824938385005034,0.040936916551540053,0.3739394848677576,GBM_NOT_SUSPECTED,2,GBM_NOT_SUSPECTED|INDETERMINATE,True,True,False,0.20010830461978912,0.11856614695015934,0.21181774139404297,0.12983747630367165,0.2140463888645172,0.1320282070419279,0.19412276148796082,0.11296176322148717,0.17675049602985382,0.09731246729851029,0.21794646978378296,0.13589647323354415,0.2202974557876587,0.13824938385005034,False,False,False,True
no_760138854027be6d,no,0,0,0.6907094023322218,0.13,0.57,7,0.20791972675754852,0.03032362059253102,0.16807130143351287,0.2431881613466034,0.07511685991309053,0.511187389330946,INDETERMINATE,1,INDETERMINATE,False,False,False,0.26441478729248047,0.1852312475085936,0.3116765022277832,0.24102437624318374,0.3097427189350128,0.23864111628464485,0.31342658400535583,0.2431881613466034,0.28036198019981384,0.20346443081135404,0.2559533417224884,0.17581745367494697,0.24886180460453033,0.16807130143351287,False,False,False,False
no_7e606d5851ec154e,no,0,0,0.6907094023322218,0.13,0.57,7,0.17688662271501757,0.034645358358252665,0.1318048321835718,0.2380711745353174,0.10626634235174559,0.46663954008567476,INDETERMINATE,1,INDETERMINATE,False,False,False,0.24983660876750946,0.16912822214375786,0.30927929282188416,0.2380711745353174,0.2724277973175049,0.1943140427145916,0.27680206298828125,0.1993397644008153,0.2506636679172516,0.17002692770066913,0.2175702303647995,0.13552139532639967,0.21381981670856476,0.1318048321835718,False,False,False,False
no_81f4b76bdbd241ba,no,0,0,0.6907094023322218,0.13,0.57,7,0.3074920309654699,0.033073796949307024,0.2629532952148799,0.34954052951715153,0.08658723430227161,0.6170792651207061,INDETERMINATE,1,INDETERMINATE,False,False,False,0.3291798532009125,0.2629532952148799,0.3642568290233612,0.3086744121832008,0.39249682426452637,0.3469585630696975,0.3943719267845154,0.34954052951715153,0.3798096477985382,0.3296140121407153,0.3369411528110504,0.2728744796926967,0.3438701033592224,0.2818289249399473,False,False,False,False
no_9b1014fc56b1e254,no,0,0,0.6907094023322218,0.13,0.57,7,0.18592987047383253,0.0170723066489316,0.16178041494067305,0.21347752988203544,0.05169711494136239,0.48026711733526506,INDETERMINATE,1,INDETERMINATE,False,False,False,0.24907313287258148,0.16830021757074193,0.2430105060338974,0.16178041494067305,0.2787540853023529,0.20159764235792563,0.28889700770378113,0.21347752988203544,0.26988089084625244,0.191409649447944,0.25597429275512695,0.17584053417714848,0.26784804463386536,0.18910310494035903,False,False,False,False
no_ab01efa9ce7ad51d,no,0,0,0.6907094023322218,0.13,0.57,7,0.14395551298711645,0.013472858532488526,0.12834875993345884,0.17333186716685686,0.04498310723339802,0.4120794176463761,INDETERMINATE,2,GBM_NOT_SUSPECTED|INDETERMINATE,True,True,False,0.2266312688589096,0.14466662187728282,0.22589550912380219,0.14391534853222926,0.2536909580230713,0.17333186716685686,0.21750198304653168,0.13545340223416172,0.21696367859840393,0.1349175719442772,0.2289605289697647,0.14705501922154837,0.21029481291770935,0.12834875993345884,False,False,False,True
no_bec663631a5dca91,no,0,0,0.6907094023322218,0.13,0.57,7,0.25082733078929137,0.052130964239568624,0.19414837270944266,0.3451316435071966,0.15098327079775395,0.5632422364604842,INDETERMINATE,1,INDETERMINATE,False,False,False,0.2722828984260559,0.19414837270944266,0.3911680281162262,0.3451316435071966,0.3346531391143799,0.26993758351806807,0.3373589813709259,0.2734118868618269,0.3390224874019623,0.27555476166120335,0.27372896671295166,0.19580406445080004,0.27893123030662537,0.2018030028165021,False,False,False,False
no_c8280173142dbe05,no,0,0,0.6907094023322218,0.13,0.57,7,0.12436349813241232,0.027491822723936202,0.1025453294586484,0.17810136428689327,0.07555603482824487,0.3755297310668818,GBM_NOT_SUSPECTED,2,GBM_NOT_SUSPECTED|INDETERMINATE,True,True,False,0.200436532497406,0.11887657349259227,0.18898802995681763,0.10824009273520764,0.184013232588768,0.10374212231803681,0.2580215334892273,0.17810136428689327,0.2352553904056549,0.15358536020060032,0.18591609597206116,0.1054536444349076,0.18267522752285004,0.1025453294586484,False,False,False,True
no_e34b6fd8d386909b,no,0,0,0.6907094023322218,0.13,0.57,7,0.22015715308801628,0.04187443476058788,0.16378337053093725,0.2998957689174352,0.13611239838649794,0.5271067928614178,INDETERMINATE,1,INDETERMINATE,False,False,False,0.3011530339717865,0.22815366006899937,0.3576497733592987,0.2998957689174352,0.30082616209983826,0.22775780180008648,0.29365912079811096,0.21913896494480228,0.30429431796073914,0.23197007920878993,0.2510069012641907,0.17040042614506326,0.24488279223442078,0.16378337053093725,False,False,False,False
yes_0f86705620b9fafe,yes,1,0,0.6907094023322218,0.13,0.57,7,0.6184324818694337,0.0714641877231814,0.4811194619633861,0.7055219542588239,0.2244024922954378,0.6648262904610056,GBM_SUSPECTED,2,GBM_SUSPECTED|INDETERMINATE,True,False,True,0.646455705165863,0.7055219542588239,0.48695579171180725,0.4811194619633861,0.5557445287704468,0.5803407603584043,0.5830984115600586,0.6191025757944172,0.5615196824073792,0.5885765160968948,0.6294201016426086,0.6828576991028004,0.6210171580314636,0.671508405511309,False,False,False,True
