global_epoch,stage,train_loss,val_loss,train_roc_auc,val_roc_auc,val_sensitivity_at_0_5,val_specificity_at_0_5,val_f1_at_0_5
1,warmup,0.5183651749091812,0.47403684854507444,0.5718213058419244,0.7972222222222222,0.75,0.6666666666666666,0.7659574468085106
2,warmup,0.4783578880980045,0.44974530190229417,0.7219931271477663,0.8222222222222223,0.8333333333333334,0.7333333333333333,0.8333333333333334
3,warmup,0.46760919746718826,0.4450677365064621,0.7496563573883162,0.8055555555555556,0.5,0.8666666666666667,0.631578947368421
4,warmup,0.47230887148953693,0.43003320395946504,0.7237113402061855,0.8388888888888889,0.7083333333333334,0.8,0.7727272727272727
5,warmup,0.4509910214928132,0.42812241464853285,0.7829896907216495,0.8472222222222223,0.5416666666666666,0.8,0.65
6,finetune,0.45777061807958386,0.4221072256565094,0.7666666666666666,0.8472222222222222,0.5,0.8,0.6153846153846154
7,finetune,0.4218342606025406,0.4096996203064919,0.8302405498281787,0.8694444444444445,0.7083333333333334,0.8,0.7727272727272727
8,finetune,0.4330687577588649,0.38610237166285516,0.8144329896907216,0.8833333333333333,0.7916666666666666,0.8,0.8260869565217391
9,finetune,0.4134782239606109,0.3882991075515747,0.8213058419243987,0.8916666666666666,0.6666666666666666,0.8666666666666667,0.7619047619047619
10,finetune,0.4172380712779262,0.35853648707270624,0.8228522336769759,0.9249999999999999,0.9166666666666666,0.8666666666666667,0.9166666666666666
11,finetune,0.41172067208003393,0.3624897517263889,0.8285223367697595,0.9194444444444445,0.7083333333333334,0.8666666666666667,0.7906976744186046
12,finetune,0.38872873160658006,0.3498638480901718,0.8621993127147767,0.9222222222222222,0.7916666666666666,0.8666666666666667,0.8444444444444444
13,finetune,0.3748581811219831,0.3511410042643547,0.8678694158075602,0.925,0.8333333333333334,0.8666666666666667,0.8695652173913043
14,finetune,0.38753195710574523,0.3496017768979073,0.8486254295532646,0.9111111111111111,0.8333333333333334,0.8666666666666667,0.8695652173913043
15,finetune,0.3711427098399476,0.32053726390004156,0.8752577319587629,0.9194444444444445,0.9583333333333334,0.8,0.92
16,finetune,0.4001940475611747,0.32954726219177244,0.8310996563573883,0.925,0.875,0.8666666666666667,0.8936170212765957
17,finetune,0.3837219847342636,0.331656289100647,0.849828178694158,0.9277777777777778,0.7916666666666666,0.8666666666666667,0.8444444444444444
18,finetune,0.36312623472907873,0.3176913149654865,0.8823024054982819,0.9444444444444444,0.875,0.8666666666666667,0.8936170212765957
19,finetune,0.3902464119505279,0.3298894681036472,0.8414089347079038,0.9277777777777778,0.9166666666666666,0.8,0.8979591836734694
20,finetune,0.39216462164362775,0.3353545170277357,0.8379725085910653,0.9083333333333333,0.9166666666666666,0.8,0.8979591836734694
