global_epoch,stage,train_loss,val_loss,train_roc_auc,val_roc_auc,val_sensitivity_at_0_5,val_specificity_at_0_5,val_f1_at_0_5,head_lr,backbone_lr
1,warmup,0.5279958538520031,0.5144139379262924,0.6074652777777777,0.7146666666666667,0.4,0.9333333333333333,0.5555555555555556,0.001,0.0
2,warmup,0.5133456939306015,0.5161567181348801,0.6253472222222222,0.6826666666666668,0.24,0.9333333333333333,0.375,0.0009045084971874737,0.0
3,warmup,0.473071983227363,0.46747470200061797,0.7703125,0.8,0.64,0.8666666666666667,0.7441860465116279,0.0006545084971874737,0.0
4,warmup,0.48135720116969866,0.45974104180932046,0.720486111111111,0.8240000000000001,0.68,0.8,0.7555555555555555,0.00034549150281252633,0.0
5,warmup,0.47879957808898044,0.4740016832947731,0.7392361111111112,0.7680000000000001,0.6,0.8666666666666667,0.7142857142857143,9.549150281252633e-05,0.0
6,finetune,0.47647455353767443,0.4496156632900238,0.7418402777777777,0.8053333333333335,0.68,0.8666666666666667,0.7727272727272727,0.0001,1e-05
7,finetune,0.4172514839432178,0.43295966535806657,0.8479166666666667,0.792,0.72,0.8,0.782608695652174,9.890738003669029e-05,9.890738003669029e-06
8,finetune,0.41214984932389015,0.3917499665170908,0.8276041666666667,0.8373333333333334,0.8,0.8,0.8333333333333334,9.567727288213005e-05,9.567727288213005e-06
9,finetune,0.43306960948766804,0.37612114995718005,0.8013888888888889,0.8453333333333335,0.76,0.8,0.8085106382978723,9.045084971874738e-05,9.045084971874738e-06
10,finetune,0.3702929384337786,0.36488729938864706,0.8678819444444444,0.8613333333333333,0.8,0.8,0.8333333333333334,8.345653031794292e-05,8.345653031794292e-06
11,finetune,0.3742159105932865,0.3419879155233502,0.8616319444444445,0.8640000000000001,0.76,0.8,0.8085106382978723,7.500000000000001e-05,7.5e-06
12,finetune,0.30969123504100704,0.32607140773907306,0.9048611111111111,0.8720000000000001,0.76,0.8666666666666667,0.8260869565217391,6.545084971874738e-05,6.545084971874738e-06
13,finetune,0.3632644036402687,0.33797090612351893,0.8701388888888888,0.8826666666666667,0.72,0.8666666666666667,0.8,5.522642316338269e-05,5.522642316338269e-06
14,finetune,0.29601329651016456,0.36782986056059597,0.9131944444444444,0.8480000000000001,0.68,0.9333333333333333,0.7906976744186046,4.4773576836617344e-05,4.477357683661735e-06
15,finetune,0.34176140185445547,0.34916820023208855,0.8833333333333333,0.8480000000000001,0.72,0.8666666666666667,0.8,3.454915028125264e-05,3.4549150281252644e-06
16,finetune,0.37138214783790785,0.35137338368222115,0.8602430555555556,0.864,0.68,0.8666666666666667,0.7727272727272727,2.5000000000000018e-05,2.500000000000002e-06
17,finetune,0.31151006769579953,0.3400246262550354,0.9034722222222222,0.8533333333333333,0.76,0.8666666666666667,0.8260869565217391,1.654346968205711e-05,1.654346968205711e-06
18,finetune,0.23188137357385877,0.3444519220851362,0.9479166666666666,0.8693333333333333,0.84,0.7333333333333333,0.84,9.549150281252635e-06,9.549150281252635e-07
