global_epoch,stage,train_loss,val_loss,train_roc_auc,val_roc_auc,val_sensitivity_at_0_5,val_specificity_at_0_5,val_f1_at_0_5,head_lr,backbone_lr
1,warmup,0.5292929252491722,0.4934725448489189,0.516151202749141,0.7277777777777779,0.4583333333333333,0.8,0.5789473684210527,0.001,0.0
2,warmup,0.5112475673609143,0.4749471813440323,0.6424398625429553,0.8111111111111111,0.5416666666666666,0.8666666666666667,0.6666666666666666,0.0009045084971874737,0.0
3,warmup,0.48154681958729706,0.491276416182518,0.7353951890034365,0.7250000000000001,0.25,0.9333333333333333,0.3870967741935484,0.0006545084971874737,0.0
4,warmup,0.49191383545911765,0.4713494718074799,0.6852233676975945,0.7833333333333333,0.4583333333333333,0.8666666666666667,0.5945945945945946,0.00034549150281252633,0.0
5,warmup,0.47491582360448714,0.481318798661232,0.7599656357388316,0.7333333333333334,0.2916666666666667,0.8666666666666667,0.42424242424242425,9.549150281252633e-05,0.0
6,finetune,0.5057063542212112,0.45909188091754916,0.7017182130584192,0.825,0.4583333333333333,0.8666666666666667,0.5945945945945946,0.0001,1e-05
7,finetune,0.46460642278948916,0.4539039745926857,0.7697594501718213,0.8833333333333333,0.3333333333333333,0.9333333333333333,0.48484848484848486,9.890738003669029e-05,9.890738003669029e-06
8,finetune,0.4623832683774489,0.42483461648225784,0.7848797250859106,0.9055555555555557,0.5,0.9333333333333333,0.6486486486486487,9.567727288213005e-05,9.567727288213005e-06
9,finetune,0.4191029665968086,0.38067161962389945,0.8147766323024055,0.9194444444444445,0.625,1.0,0.7692307692307693,9.045084971874738e-05,9.045084971874738e-06
10,finetune,0.39834991597299335,0.3529325544834137,0.8451890034364261,0.9277777777777777,0.6666666666666666,0.9333333333333333,0.7804878048780488,8.345653031794292e-05,8.345653031794292e-06
11,finetune,0.37841900192861316,0.3441285252571106,0.8465635738831615,0.9027777777777778,0.6666666666666666,1.0,0.8,7.500000000000001e-05,7.5e-06
12,finetune,0.36957106588384775,0.3480748273432255,0.8565292096219932,0.9027777777777778,0.6666666666666666,1.0,0.8,6.545084971874738e-05,6.545084971874738e-06
13,finetune,0.3099258257712744,0.3381730195134878,0.9075601374570447,0.9111111111111111,0.6666666666666666,1.0,0.8,5.522642316338269e-05,5.522642316338269e-06
14,finetune,0.32292918450658836,0.31017311960458754,0.8936426116838488,0.9166666666666667,0.6666666666666666,1.0,0.8,4.4773576836617344e-05,4.477357683661735e-06
15,finetune,0.32368575960774965,0.26421010326594113,0.8981099656357387,0.9222222222222223,0.8333333333333334,1.0,0.9090909090909091,3.454915028125264e-05,3.4549150281252644e-06
