global_epoch,stage,train_loss,val_loss,train_roc_auc,val_roc_auc,val_sensitivity_at_0_5,val_specificity_at_0_5,val_f1_at_0_5,head_lr,backbone_lr
1,warmup,0.531718436298491,0.49849059581756594,0.5037800687285223,0.7194444444444444,0.7916666666666666,0.4666666666666667,0.7450980392156863,0.001,0.0
2,warmup,0.5059708858592601,0.4710216477513313,0.65446735395189,0.775,0.8333333333333334,0.6,0.8,0.0009045084971874737,0.0
3,warmup,0.5023161187956605,0.4787156105041504,0.6678694158075601,0.825,0.7083333333333334,0.8666666666666667,0.7906976744186046,0.0006545084971874737,0.0
4,warmup,0.4874653769067571,0.4635068356990814,0.7054982817869416,0.8305555555555555,0.6666666666666666,0.8666666666666667,0.7619047619047619,0.00034549150281252633,0.0
5,warmup,0.4758194187019445,0.46076671630144117,0.7378006872852234,0.8416666666666666,0.7083333333333334,0.9333333333333333,0.8095238095238095,9.549150281252633e-05,0.0
6,finetune,0.47681367189823826,0.43049647435545924,0.7264604810996563,0.8833333333333333,0.6666666666666666,0.8666666666666667,0.7619047619047619,0.0001,1e-05
7,finetune,0.43131721170642706,0.3963433183729649,0.8192439862542956,0.9166666666666666,0.7083333333333334,0.8666666666666667,0.7906976744186046,9.890738003669029e-05,9.890738003669029e-06
8,finetune,0.44707440830106976,0.3945313096046448,0.7831615120274914,0.8944444444444445,0.75,0.8666666666666667,0.8181818181818182,9.567727288213005e-05,9.567727288213005e-06
9,finetune,0.3524332508633408,0.3563870631158352,0.8829896907216495,0.9138888888888889,0.75,1.0,0.8571428571428571,9.045084971874738e-05,9.045084971874738e-06
10,finetune,0.38191771615721004,0.3116179142147303,0.8542955326460481,0.9333333333333333,0.8333333333333334,0.8666666666666667,0.8695652173913043,8.345653031794292e-05,8.345653031794292e-06
11,finetune,0.3630660081494458,0.3437482587993145,0.8649484536082473,0.9249999999999999,0.5833333333333334,0.9333333333333333,0.717948717948718,7.500000000000001e-05,7.5e-06
12,finetune,0.3433711755832162,0.30495679676532744,0.8762886597938144,0.9305555555555556,0.6666666666666666,0.9333333333333333,0.7804878048780488,6.545084971874738e-05,6.545084971874738e-06
13,finetune,0.3367462504325034,0.3028535537421703,0.8793814432989691,0.95,0.625,0.9333333333333333,0.75,5.522642316338269e-05,5.522642316338269e-06
14,finetune,0.3706435321158246,0.24933547675609588,0.8721649484536083,0.9611111111111111,0.8333333333333334,0.9333333333333333,0.8888888888888888,4.4773576836617344e-05,4.477357683661735e-06
15,finetune,0.34164036452015745,0.24721951447427273,0.8883161512027492,0.9416666666666667,0.9583333333333334,0.8666666666666667,0.9387755102040817,3.454915028125264e-05,3.4549150281252644e-06
16,finetune,0.40351815889530546,0.27116624638438225,0.8410652920962199,0.9527777777777778,0.7083333333333334,0.9333333333333333,0.8095238095238095,2.5000000000000018e-05,2.500000000000002e-06
17,finetune,0.343681558153203,0.26827855706214904,0.8838487972508591,0.9694444444444446,0.6666666666666666,1.0,0.8,1.654346968205711e-05,1.654346968205711e-06
18,finetune,0.3313345049826216,0.2835342224687338,0.8871134020618557,0.9583333333333334,0.6666666666666666,0.9333333333333333,0.7804878048780488,9.549150281252635e-06,9.549150281252635e-07
19,finetune,0.33112878648304866,0.2563011612743139,0.892955326460481,0.95,0.8333333333333334,0.9333333333333333,0.8888888888888888,4.322727117869952e-06,4.3227271178699523e-07
20,finetune,0.3633141527188164,0.24671350680291654,0.8651202749140894,0.9527777777777778,0.75,0.8666666666666667,0.8181818181818182,1.092619963309716e-06,1.092619963309716e-07
