global_epoch,stage,train_loss,val_loss,train_roc_auc,val_roc_auc,val_sensitivity_at_0_5,val_specificity_at_0_5,val_f1_at_0_5
1,warmup,0.4966962942971459,0.39575508907437323,0.663573883161512,0.9722222222222223,1.0,0.4,0.8421052631578947
2,warmup,0.38233357026607173,0.30562857575714586,0.865635738831615,0.9805555555555556,0.9166666666666666,0.9333333333333333,0.9361702127659575
3,warmup,0.33139235545185547,0.2603583101183176,0.9175257731958762,0.9916666666666667,0.875,1.0,0.9333333333333333
4,warmup,0.32325738234610496,0.24887912198901177,0.9099656357388316,0.9888888888888889,0.9166666666666666,1.0,0.9565217391304348
5,warmup,0.2986691242343263,0.24621159657835961,0.9310996563573883,0.9888888888888889,0.9166666666666666,1.0,0.9565217391304348
6,finetune,0.31687731640059735,0.16676916731521488,0.9139175257731958,0.9888888888888889,0.9166666666666666,0.9333333333333333,0.9361702127659575
7,finetune,0.22366586223221088,0.12622774317860602,0.9537800687285223,0.9916666666666667,0.9166666666666666,1.0,0.9565217391304348
8,finetune,0.17782090946183174,0.11725937114097178,0.9743986254295531,0.9944444444444445,0.875,1.0,0.9333333333333333
9,finetune,0.1007885313054983,0.17615615129470824,0.9905498281786942,0.9861111111111112,1.0,0.7333333333333333,0.9230769230769231
10,finetune,0.11513544966782077,0.10904131036368199,0.9898625429553265,0.9833333333333334,0.9166666666666666,0.9333333333333333,0.9361702127659575
11,finetune,0.0607139156870485,0.11493264796445146,0.9972508591065292,0.9833333333333334,0.9166666666666666,0.9333333333333333,0.9361702127659575
12,finetune,0.04611225660206585,0.12045494054618758,0.9984536082474227,0.9833333333333334,0.9583333333333334,0.9333333333333333,0.9583333333333334
13,finetune,0.05935440761040118,0.11622373748687095,0.9975945017182131,0.9833333333333334,0.9583333333333334,0.9333333333333333,0.9583333333333334
